"Species","Longitude","Latitude"
"Populus_tremuloides",-80.02,41.7299999637931
"Populus_tremuloides",-74.92,41.8299999640617
"Populus_tremuloides",-120.26819,39.4351899573305
"Populus_tremuloides",-130.5,60.8099999913427
"Populus_tremuloides",-118.73,59.0399999904249
"Populus_tremuloides",-120.555,39.3149999569781
"Populus_tremuloides",-123,40.9999999617968
"Populus_tremuloides",-88.3,52.3999999846963
"Populus_tremuloides",-122.9398,41.2723999625486
"Populus_tremuloides",-123.450833,41.376943962835
"Populus_tremuloides",-94.42,52.2299999844874
"Populus_tremuloides",-122.336197,41.3315009627107
"Populus_tremuloides",-122.0084,41.2265999624228
"Populus_tremuloides",-116.2,47.5399999771882
"Populus_tremuloides",-123.1788,41.5551999633205
"Populus_tremuloides",-119.262836,38.4331719543577
"Populus_tremuloides",-119.5717,38.6082999548827
"Populus_tremuloides",-118.165126,37.5052319515449
"Populus_tremuloides",-119.161924,38.1666549535551
"Populus_tremuloides",-118.609,37.2312999507059
"Populus_tremuloides",-138.75,65.6999999931589
"Populus_tremuloides",-122.22,63.2899999923641
"Populus_tremuloides",-111.28,53.9799999864683
"Populus_tremuloides",-118.15,65.6599999931468
"Populus_tremuloides",-121.4907,40.5323999604874
"Populus_tremuloides",-148.61,61.7199999917482
"Populus_tremuloides",-120.0784,38.4110999542915
"Populus_tremuloides",-76.29,47.1799999764981
"Populus_tremuloides",-116.8067,34.1513999411685
"Populus_tremuloides",-121.489167,39.9474999588185
"Populus_tremuloides",-112.89,63.6599999924964
"Populus_tremuloides",-158.44,62.3099999919911
"Populus_tremuloides",-160.29,61.5799999916884
"Populus_tremuloides",-137.32,59.9099999908994
"Populus_tremuloides",-73.65,45.5166669730632
"Populus_tremuloides",-135.65,66.4799999933892
"Populus_tremuloides",-121.56,55.2999999877321
"Populus_tremuloides",-71.42,49.0899999799428
"Populus_tremuloides",-76.933333,53.3999999858521
"Populus_tremuloides",-124.68,59.5699999907199
