"","Species","Longitude","Latitude","optional"
"1:95","Populus_tremuloides",-112.77,37.5199999677267,TRUE
"1:96","Populus_tremuloides",-119.7,39.2699999712305,TRUE
"1:97","Populus_tremuloides",-119.951586,39.8068529722749,TRUE
"1:98","Populus_tremuloides",-90.342534,43.3064459785901,TRUE
"1:99","Populus_tremuloides",-74.33939,45.9788099827054,TRUE
"1:100","Populus_tremuloides",-71.3838,46.7661899837877,TRUE
"1:101","Populus_tremuloides",-139.39102,64.1216799951038,TRUE
"1:102","Populus_tremuloides",-123.61667,60.8333299942358,TRUE
"1:103","Populus_tremuloides",-72.1341,48.3256599857521,TRUE
"1:104","Populus_tremuloides",-73.89076,45.4948899820104,TRUE
"1:105","Populus_tremuloides",-71.276667,46.7766669838017,TRUE
"1:106","Populus_tremuloides",-69.2475,48.1439599855354,TRUE
"1:107","Populus_tremuloides",-73.50768,45.5381999820735,TRUE
"1:108","Populus_tremuloides",-73.51071,45.5369499820717,TRUE
"1:109","Populus_tremuloides",-73.5078,45.5383299820737,TRUE
"1:110","Populus_tremuloides",-68.151389,49.2205559867726,TRUE
"1:111","Populus_tremuloides",-67.234444,49.4941669870694,TRUE
"1:112","Populus_tremuloides",-66.704444,50.1061109877075,TRUE
"1:113","Populus_tremuloides",-66.088056,50.2252779878278,TRUE
"1:114","Populus_tremuloides",-68.151389,49.2205559867726,TRUE
"1:115","Populus_tremuloides",-68.3725,49.0836109866216,TRUE
"1:116","Populus_tremuloides",-63.924722,50.3016669879043,TRUE
"1:117","Populus_tremuloides",-73.533333,53.8166669908659,TRUE
"1:118","Populus_tremuloides",-78.783333,52.9166669902057,TRUE
"1:119","Populus_tremuloides",-65.088611,52.7986109901143,TRUE
"1:120","Populus_tremuloides",-70.880833,48.5969439860696,TRUE
"1:121","Populus_tremuloides",-69.425,47.9680559853226,TRUE
"1:122","Populus_tremuloides",-70.945833,48.3611109857939,TRUE
"1:123","Populus_tremuloides",-71.333333,46.7222219837288,TRUE
"1:124","Populus_tremuloides",-71.35,46.7999999838328,TRUE
"1:125","Populus_tremuloides",-67.416667,52.4499999898379,TRUE
"1:126","Populus_tremuloides",-69.25,48.1422219855334,TRUE
"1:127","Populus_tremuloides",-69.25,48.1422219855334,TRUE
"1:128","Populus_tremuloides",-68.579167,48.4486109858969,TRUE
"1:129","Populus_tremuloides",-70.780556,46.9749999840645,TRUE
"1:130","Populus_tremuloides",-70.543056,47.0594439841752,TRUE
"1:131","Populus_tremuloides",-61.8500000000001,47.233332984401,TRUE
"1:132","Populus_tremuloides",-69.25,48.1422219855334,TRUE
"1:133","Populus_tremuloides",-69.25,48.1422219855334,TRUE
"1:134","Populus_tremuloides",-70.465,47.1338889842722,TRUE
"1:135","Populus_tremuloides",-68.583333,48.4499999858986,TRUE
"1:136","Populus_tremuloides",-68.85,48.3333329857612,TRUE
"1:137","Populus_tremuloides",-68.566667,48.4666669859181,TRUE
"1:138","Populus_tremuloides",-68.566667,48.4666669859181,TRUE
"1:139","Populus_tremuloides",-71.133333,46.8499999838993,TRUE
"1:140","Populus_tremuloides",-69.744167,47.7202779850177,TRUE
"1:141","Populus_tremuloides",-93.73333,49.6500019872353,TRUE
"1:142","Populus_tremuloides",-118.474052,47.8025889851196,TRUE
"1:143","Populus_tremuloides",-118.61591,44.1867199800194,TRUE
"1:144","Populus_tremuloides",-118.6819,44.3095169802131,TRUE
"1:145","Populus_tremuloides",-119.073889,47.870277985203,TRUE
"1:146","Populus_tremuloides",-123.358,47.931499985278,TRUE
"1:147","Populus_tremuloides",-118.54329,47.508179984752,TRUE
"1:148","Populus_tremuloides",-120.85255,46.7262499837342,TRUE
"1:149","Populus_tremuloides",-120.84194,47.7811099850931,TRUE
"1:150","Populus_tremuloides",-120.56917,47.4672199847001,TRUE
"1:151","Populus_tremuloides",-122.905,46.9099999839788,TRUE
"1:152","Populus_tremuloides",-123.546633,46.986016984079,TRUE
"1:153","Populus_tremuloides",-119.29111,47.6113899848818,TRUE
"1:154","Populus_tremuloides",-122.179167,48.1658329855617,TRUE
"1:155","Populus_tremuloides",-122.541733,48.5758829860452,TRUE
"1:156","Populus_tremuloides",-120.360556,47.5791669848414,TRUE
"1:157","Populus_tremuloides",-123.1316,48.6569169861389,TRUE
"1:158","Populus_tremuloides",-116.77425,42.9862019780529,TRUE
"1:159","Populus_tremuloides",-115.83972,47.6933299849842,TRUE
"1:160","Populus_tremuloides",-116.828356,46.7778709838033,TRUE
"1:161","Populus_tremuloides",-128.183333,59.9499999939467,TRUE
"1:162","Populus_tremuloides",-113.456747,44.0205009797549,TRUE
"1:163","Populus_tremuloides",-113.458666,43.8831749795344,TRUE
"1:164","Populus_tremuloides",-116.90305,48.2001709856028,TRUE
"1:165","Populus_tremuloides",-111.393063,44.414170980377,TRUE
"1:166","Populus_tremuloides",-116.9225,42.7522199776548,TRUE
"1:167","Populus_tremuloides",-113.770369,42.0875729764988,TRUE
"1:168","Populus_tremuloides",-113.87806,44.3384849802586,TRUE
"1:169","Populus_tremuloides",-119.964121,46.7645549837855,TRUE
"1:170","Populus_tremuloides",-119.716667,42.4166669770758,TRUE
"1:171","Populus_tremuloides",-145.7,63.9999999950763,TRUE
"1:172","Populus_tremuloides",-113.227974,43.6975849792338,TRUE
"1:173","Populus_tremuloides",-113.58727,43.476071978871,TRUE
"1:174","Populus_tremuloides",-116.25,46.6666669836541,TRUE
"1:175","Populus_tremuloides",-119.691389,42.4986109772181,TRUE
"1:176","Populus_tremuloides",-114.92722,44.4424999804214,TRUE
"1:177","Populus_tremuloides",-113.770369,42.0875729764988,TRUE
"1:178","Populus_tremuloides",-120.27583,47.1994399843573,TRUE
"1:179","Populus_tremuloides",-120.11994,46.9915199840862,TRUE
"1:180","Populus_tremuloides",-120.74618,46.9960599840922,TRUE
"1:181","Populus_tremuloides",-122.33083,47.6063899848755,TRUE
"1:182","Populus_tremuloides",-122.33194,47.7740669850844,TRUE
"1:183","Populus_tremuloides",-122.33083,47.6063899848755,TRUE
"1:184","Populus_tremuloides",-122.33083,47.6063899848755,TRUE
"1:185","Populus_tremuloides",-117.36528,47.7008299849935,TRUE
"1:186","Populus_tremuloides",-119.049966,48.9462359864681,TRUE
"1:187","Populus_tremuloides",-120.82389,47.8713899852044,TRUE
"1:188","Populus_tremuloides",-122.64194,48.2933299857137,TRUE
"1:189","Populus_tremuloides",-122.82639,47.3858299845966,TRUE
"1:190","Populus_tremuloides",-116.99611,48.5952799860677,TRUE
"1:191","Populus_tremuloides",-116.9225,42.7522199776548,TRUE
"1:192","Populus_tremuloides",-116.73222,43.0169399781049,TRUE
"1:193","Populus_tremuloides",-116.55389,45.3091699817376,TRUE
"1:194","Populus_tremuloides",-136.8,59.9166669939352,TRUE
"1:195","Populus_tremuloides",-113.0225,43.3961099787389,TRUE
"1:196","Populus_tremuloides",-113.56333,43.4683299788581,TRUE
"1:197","Populus_tremuloides",-122.922311,47.3535639845555,TRUE
"1:198","Populus_tremuloides",-120.58112,46.9942399840898,TRUE
"1:199","Populus_tremuloides",-120.20722,47.6761099849627,TRUE
"1:200","Populus_tremuloides",-120.728611,47.4963889847371,TRUE
"1:201","Populus_tremuloides",-120.93806,47.1955599843523,TRUE
"1:202","Populus_tremuloides",-120.948889,47.1969439843539,TRUE
"1:203","Populus_tremuloides",-120.11994,46.9915199840862,TRUE
"1:204","Populus_tremuloides",-120.878403,46.2805909831272,TRUE
"1:205","Populus_tremuloides",-120.83698,46.8143899838519,TRUE
"1:206","Populus_tremuloides",-123.210556,48.6747219861594,TRUE
"1:207","Populus_tremuloides",-120.948889,47.1969439843539,TRUE
"1:208","Populus_tremuloides",-120.46861,47.52249998477,TRUE
"1:209","Populus_tremuloides",-120.78503,47.470239984704,TRUE
"1:210","Populus_tremuloides",-121.29677,47.300899984488,TRUE
"1:211","Populus_tremuloides",-113.648333,42.323332976913,TRUE
"1:212","Populus_tremuloides",-122.179167,48.1658329855617,TRUE
"1:213","Populus_tremuloides",-119.237639,47.736555985038,TRUE
"1:214","Populus_tremuloides",-120.802712,46.8065699838415,TRUE
"1:215","Populus_tremuloides",-117.17861,46.7313899837411,TRUE
"1:216","Populus_tremuloides",-122.48694,48.7597199862568,TRUE
"1:217","Populus_tremuloides",-118.087048,48.5733359860422,TRUE
"1:218","Populus_tremuloides",-117.101667,47.9211109852653,TRUE
"1:219","Populus_tremuloides",-123.210556,48.6747219861594,TRUE
"1:220","Populus_tremuloides",-119.83644,48.6816299861673,TRUE
"1:221","Populus_tremuloides",-123.01244,47.4480999846759,TRUE
"1:222","Populus_tremuloides",-120.66417,47.2538899844276,TRUE
"1:223","Populus_tremuloides",-119.897511,46.040232982792,TRUE
"1:224","Populus_tremuloides",-122.33194,47.7740669850844,TRUE
"1:225","Populus_tremuloides",-122.75917,48.1172199855033,TRUE
"1:226","Populus_tremuloides",-122.64194,48.2933299857137,TRUE
"1:227","Populus_tremuloides",-120.84194,47.7811099850931,TRUE
"1:228","Populus_tremuloides",-122.647806,46.9125829839822,TRUE
"1:229","Populus_tremuloides",-119.167583,47.9382499852862,TRUE
"1:230","Populus_tremuloides",-121.135,48.9216669864404,TRUE
"1:231","Populus_tremuloides",-103.59381,43.708129979251,TRUE
"1:232","Populus_tremuloides",-104.04009,44.1736599799986,TRUE
"1:233","Populus_tremuloides",-103.61761,43.8995399795608,TRUE
"1:234","Populus_tremuloides",-104.975833,37.4138889675103,TRUE
"1:235","Populus_tremuloides",-103.59514,43.9157799795869,TRUE
"1:236","Populus_tremuloides",-103.61761,43.8995399795608,TRUE
"1:237","Populus_tremuloides",-81.4729,41.5445999755279,TRUE
"1:238","Populus_tremuloides",-103.5351,43.6403999791405,TRUE
"1:239","Populus_tremuloides",-81.4729,41.5445999755279,TRUE
"1:240","Populus_tremuloides",-103.55394,43.6501899791566,TRUE
"1:241","Populus_tremuloides",-103.56362,43.8022699794037,TRUE
"1:242","Populus_tremuloides",-81.4729,41.5445999755279,TRUE
"1:243","Populus_tremuloides",-123.103936,44.6205419806975,TRUE
"1:244","Populus_tremuloides",-122.152288,45.5638279821108,TRUE
"1:245","Populus_tremuloides",-121.6536,44.3771999803193,TRUE
"1:246","Populus_tremuloides",-115.445,43.5897219790576,TRUE
"1:247","Populus_tremuloides",-122.973756,45.0468639813467,TRUE
"1:248","Populus_tremuloides",-122.558005,45.7752689824158,TRUE
"1:249","Populus_tremuloides",-123.145594,44.5308109805586,TRUE
"1:250","Populus_tremuloides",-122.61805,45.3611199818143,TRUE
"1:251","Populus_tremuloides",-120.000081,38.7902629702839,TRUE
"1:252","Populus_tremuloides",-117.5786,47.4885999847272,TRUE
"1:253","Populus_tremuloides",-106.916033,40.3976999734041,TRUE
"1:254","Populus_tremuloides",-122.907106,46.4425969833502,TRUE
"1:255","Populus_tremuloides",-122.514018,45.766969982404,TRUE
"1:256","Populus_tremuloides",-112.343019,55.5439809919638,TRUE
"1:257","Populus_tremuloides",-122.200775,43.8754439795219,TRUE
"1:258","Populus_tremuloides",-118.709641,54.8946769915758,TRUE
"1:259","Populus_tremuloides",-118.116389,53.2422219904517,TRUE
"1:260","Populus_tremuloides",-122.106378,42.1292289765723,TRUE
"1:261","Populus_tremuloides",-122.996606,45.0082669812887,TRUE
"1:262","Populus_tremuloides",-123.0178,46.9037369839705,TRUE
"1:263","Populus_tremuloides",-121.02699,40.669624973916,TRUE
"1:264","Populus_tremuloides",-114.25199,48.5645899860322,TRUE
"1:265","Populus_tremuloides",-122.87845,46.5829199835412,TRUE
"1:266","Populus_tremuloides",-122.722419,45.4128779818903,TRUE
"1:267","Populus_tremuloides",-121.326875,45.8956859825876,TRUE
"1:268","Populus_tremuloides",-123.203475,44.5192219805406,TRUE
"1:269","Populus_tremuloides",-109.306725,45.1712139815329,TRUE
"1:270","Populus_tremuloides",-117.148007,48.2273709856354,TRUE
"1:271","Populus_tremuloides",-111.486547,41.9928169763311,TRUE
"1:272","Populus_tremuloides",-122.335927,47.1545679842991,TRUE
"1:273","Populus_tremuloides",-120.693299,47.3314329845271,TRUE
"1:274","Populus_tremuloides",-118.3635,46.0591999828187,TRUE
"1:275","Populus_tremuloides",-123.356536,47.9306469852769,TRUE
"2:1","Populus_tremuloides",-99.39,19.4999999434208,TRUE
"2:2","Populus_tremuloides",-100.38,19.9099999432987,TRUE
"2:3","Populus_tremuloides",-100.36,20.0099999432761,TRUE
"2:4","Populus_tremuloides",-98.62,20.1199999432544,TRUE
"2:5","Populus_tremuloides",-98.66,20.1199999432544,TRUE
"2:6","Populus_tremuloides",-98.65,20.1299999432526,TRUE
"2:7","Populus_tremuloides",-98.65,20.1399999432509,TRUE
"2:8","Populus_tremuloides",-100.29,20.1599999432473,TRUE
"2:9","Populus_tremuloides",-100.12,20.8099999431946,TRUE
"2:10","Populus_tremuloides",-99.58,20.8599999431954,TRUE
"2:11","Populus_tremuloides",-100.39,20.999999943201,TRUE
"2:12","Populus_tremuloides",-100.41,21.2899999432292,TRUE
"2:13","Populus_tremuloides",-103.29,21.4299999432509,TRUE
"2:14","Populus_tremuloides",-103.05,21.9199999433668,TRUE
"2:15","Populus_tremuloides",-103.63,21.9899999433884,TRUE
"2:16","Populus_tremuloides",-104.21,23.3999999440831,TRUE
"2:17","Populus_tremuloides",-99.78,23.5999999442203,TRUE
"2:18","Populus_tremuloides",-105.31,23.7799999443515,TRUE
"2:19","Populus_tremuloides",-105.3,23.8299999443893,TRUE
"2:20","Populus_tremuloides",-104.94,23.909999944451,TRUE
"2:21","Populus_tremuloides",-104.93,23.9299999444666,TRUE
"2:22","Populus_tremuloides",-105.68,24.0799999445867,TRUE
"2:23","Populus_tremuloides",-105.74,24.0899999445949,TRUE
"2:24","Populus_tremuloides",-105.68,24.0899999445949,TRUE
"2:25","Populus_tremuloides",-100.14,24.689999945126,TRUE
"2:26","Populus_tremuloides",-100.06,24.8499999452806,TRUE
"2:27","Populus_tremuloides",-100.28,24.8499999452806,TRUE
"2:28","Populus_tremuloides",-100.22,24.8899999453201,TRUE
"2:29","Populus_tremuloides",-100.33,24.9699999454,TRUE
"2:30","Populus_tremuloides",-106.41,25.1099999455432,TRUE
"2:31","Populus_tremuloides",-100.33,25.1799999456163,TRUE
"2:32","Populus_tremuloides",-100.14,25.1999999456373,TRUE
"2:33","Populus_tremuloides",-100.14,25.1999999456373,TRUE
"2:34","Populus_tremuloides",-100.38,25.2099999456479,TRUE
"2:35","Populus_tremuloides",-100.3,25.2099999456479,TRUE
