"","settings","features","rm","full.AUC","Mean.AUC","Var.AUC","Mean.AUC.DIFF","Var.AUC.DIFF","Mean.OR10","Var.OR10","Mean.ORmin","Var.ORmin","AICc","delta.AICc","w.AIC","nparam","sel.cri","rankAICc"
"1","L_0.5","L",0.5,0.9984,0.898066666666667,0.109584931296296,0.0274944444444444,0.00816409622427984,0.25,0.101851851851852,0.166666666666667,0.111111111111111,230.716541557214,24.595427457812,2.77005023111095e-06,7,"",40
"2","P_0.5","P",0.5,0.9985,0.907216666666667,0.0856237402777778,0.0320805555555556,0.0105646307227366,0.666666666666667,0.222222222222222,0.166666666666667,0.111111111111111,289.72368785672,83.6025737573178,4.25842133592842e-19,9,"",90
"3","Q_0.5","Q",0.5,0.9983,0.932091666666667,0.044393531875,0.0462083333333334,0.0231128952083333,0.166666666666667,0.111111111111111,0.166666666666667,0.111111111111111,423.24131240857,217.120198309168,4.32777664866665e-48,10,"",99
"4","H_0.5","H",0.5,0.9989,0.934858333333333,0.0429689687268519,0.0341611111111111,0.0116830725,0.5,0.185185185185185,0.333333333333333,0.148148148148148,NA,NA,NA,25,"",104
"5","LP_0.5","LP",0.5,0.9986,0.907975,0.0850287540972222,0.0321527777777778,0.0107352115252058,0.5,0.185185185185185,0.166666666666667,0.111111111111111,290.093867407945,83.972753308543,3.53887449585015e-19,9,"",92
"6","LQ_0.5","LQ",0.5,0.9986,0.906641666666667,0.0867146752083333,0.0571722222222223,0.0350028776234568,0.25,0.101851851851852,0.166666666666667,0.111111111111111,290.116603926964,83.995489827562,3.49887146544802e-19,9,"",93
"7","LH_0.5","LH",0.5,0.9989,0.853308333333333,0.227724178356481,0.0363138888888889,0.0131588809079218,0.75,0.101851851851852,0.416666666666667,0.25,NA,NA,NA,15,"",105
"8","PQ_0.5","PQ",0.5,0.9985,0.914233333333333,0.0732855342592593,0.0353388888888888,0.0129667052777778,0.416666666666667,0.101851851851852,0.166666666666667,0.111111111111111,NA,NA,NA,12,"",106
"9","PH_0.5","PH",0.5,0.9988,0.9062,0.0916980553703704,0.03265,0.0108543143930041,0.666666666666667,0.222222222222222,0.333333333333333,0.148148148148148,NA,NA,NA,22,"",107
"10","QH_0.5","QH",0.5,0.9987,0.896808333333333,0.105994049282407,0.0511361111111111,0.0268282429861111,0.416666666666667,0.25,0.333333333333333,0.148148148148148,NA,NA,NA,15,"",108
"11","LPQ_0.5","LPQ",0.5,0.9985,0.912758333333333,0.0760373357638889,0.0349138888888889,0.0126641805787037,0.416666666666667,0.101851851851852,0.166666666666667,0.111111111111111,NA,NA,NA,11,"",109
"12","LPH_0.5","LPH",0.5,0.9988,0.905066666666667,0.0939445690740741,0.0326166666666667,0.0107862189609053,0.583333333333333,0.175925925925926,0.416666666666667,0.25,NA,NA,NA,15,"",110
"13","LQH_0.5","LQH",0.5,0.9987,0.859166666666667,0.202691353333333,0.0449416666666667,0.0203326807433128,0.416666666666667,0.25,0.416666666666667,0.25,NA,NA,NA,15,"",111
"14","PQH_0.5","PQH",0.5,0.9988,0.910966666666667,0.0809421331481482,0.03715,0.0137493772325103,0.666666666666667,0.222222222222222,0.416666666666667,0.25,NA,NA,NA,15,"",112
"15","LPQH_0.5","LPQH",0.5,0.9988,0.910958333333333,0.080958028912037,0.0372444444444445,0.013817137345679,0.666666666666667,0.222222222222222,0.416666666666667,0.25,NA,NA,NA,14,"",113
"16","L_1","L",1,0.9983,0.909916666666667,0.0840372347222222,0.0226,0.00540779374485596,0.25,0.101851851851852,0.166666666666667,0.111111111111111,257.592711679381,51.4715975799789,4.04018689034987e-12,8,"",77
"17","P_1","P",1,0.9985,0.912075,0.076689916875,0.0321916666666667,0.0104701954963992,0.5,0.185185185185185,0.166666666666667,0.111111111111111,249.179812959151,43.058698859749,2.71168476171852e-10,8,"",60
"18","Q_1","Q",1,0.9982,0.920216666666667,0.0629062815740741,0.0638583333333333,0.0441369380889917,0.166666666666667,0.111111111111111,0.166666666666667,0.111111111111111,248.450564568894,42.3294504694923,3.90475218427957e-10,8,"",59
"19","H_1","H",1,0.9987,0.944016666666667,0.0311435350925926,0.0171541666666667,0.00268091662615741,0.583333333333333,0.175925925925926,0.25,0.101851851851852,NA,NA,NA,20,"",114
"20","LP_1","LP",1,0.9985,0.905558333333333,0.0900867109490741,0.0304555555555555,0.00940356615226338,0.5,0.185185185185185,0.166666666666667,0.111111111111111,227.028659700219,20.9075456008173,1.75105994862904e-05,7,"",22
"21","LQ_1","LQ",1,0.9984,0.927116666666667,0.0519705073148148,0.0512555555555556,0.0282511187037037,0.166666666666667,0.111111111111111,0.166666666666667,0.111111111111111,247.129666529634,41.0085524302319,7.55827764708694e-10,8,"",56
"22","LH_1","LH",1,0.9988,0.896658333333333,0.110711038726852,0.0253666666666667,0.0060868970781893,0.666666666666667,0.222222222222222,0.416666666666667,0.25,287.015838356153,80.8947242567511,1.64911399418396e-18,9,"",89
"23","PQ_1","PQ",1,0.9983,0.916983333333333,0.0684582199074074,0.0344222222222222,0.0121620814197531,0.5,0.185185185185185,0.416666666666667,0.101851851851852,248.255457327318,42.1343432279159,4.30487430898427e-10,8,"",58
"24","PH_1","PH",1,0.9987,0.913558333333333,0.0773497579861111,0.0332555555555556,0.011161367962963,0.5,0.185185185185185,0.333333333333333,0.148148148148148,NA,NA,NA,12,"",115
"25","QH_1","QH",1,0.9986,0.9187,0.0648300542592593,0.0694027777777778,0.0507069549408436,0.416666666666667,0.25,0.416666666666667,0.25,222.836955614965,16.7158415155631,0.000142402623908852,7,"",12
"26","LPQ_1","LPQ",1,0.9983,0.906991666666667,0.0869155678009259,0.0332916666666667,0.0113517821219136,0.5,0.185185185185185,0.416666666666667,0.101851851851852,424.244366199695,218.123252100293,2.62092429135421e-48,10,"",100
"27","LPH_1","LPH",1,0.9987,0.91585,0.0732600050925926,0.0370722222222222,0.0140372777880658,0.416666666666667,0.25,0.416666666666667,0.25,NA,NA,NA,13,"",116
"28","LQH_1","LQH",1,0.9987,0.926633333333333,0.0523121683333333,0.0520111111111111,0.0281475011934156,0.416666666666667,0.25,0.416666666666667,0.25,243.892387338299,37.7712732388974,3.81407374543695e-09,8,"",53
"29","PQH_1","PQH",1,0.9987,0.921241666666667,0.063732904837963,0.0350333333333334,0.0124735222016461,0.666666666666667,0.222222222222222,0.416666666666667,0.25,NA,NA,NA,11,"",117
"30","LPQH_1","LPQH",1,0.9987,0.920441666666667,0.0650795492824074,0.0377083333333333,0.0145332994470164,0.666666666666667,0.222222222222222,0.416666666666667,0.25,NA,NA,NA,11,"",118
"31","L_1.5","L",1.5,0.998,0.897291666666667,0.105654391689815,0.0256333333333333,0.006362015,0.416666666666667,0.25,0.25,0.101851851851852,266.0323433737,59.9112292742976,5.93962078079414e-14,8,"",83
"32","P_1.5","P",1.5,0.9983,0.911491666666667,0.0777972848379629,0.0307833333333333,0.00941394768518518,0.416666666666667,0.25,0.333333333333333,0.148148148148148,254.207288759945,48.0861746605432,2.19551648079098e-11,8,"",71
"33","Q_1.5","Q",1.5,0.9981,0.916283333333333,0.0699950075,0.0641027777777778,0.044566128438786,0.166666666666667,0.111111111111111,0.166666666666667,0.111111111111111,250.162806614781,44.0416925153791,1.65876491312234e-10,8,"",63
"34","H_1.5","H",1.5,0.9987,0.942516666666667,0.0319472541666666,0.0170111111111111,0.0023859312345679,0.583333333333333,0.175925925925926,0.5,0.185185185185185,NA,NA,NA,14,"",119
"35","LP_1.5","LP",1.5,0.9984,0.905658333333333,0.0896411192824074,0.0301027777777778,0.00907242730709876,0.416666666666667,0.25,0.333333333333333,0.148148148148148,253.189715347368,47.0686012479663,3.65174094058261e-11,8,"",70
"36","LQ_1.5","LQ",1.5,0.9983,0.923483333333333,0.0580395067592593,0.051175,0.0282726183564815,0.25,0.101851851851852,0.166666666666667,0.111111111111111,226.269698687482,20.1485845880796,2.55921813514117e-05,7,"",19
"37","LH_1.5","LH",1.5,0.9987,0.898016666666667,0.106262211203704,0.0237,0.00500169207818931,0.75,0.101851851851852,0.416666666666667,0.25,422.469572285809,216.348458186407,6.36569868272374e-48,10,"",98
"38","PQ_1.5","PQ",1.5,0.998,0.913875,0.0736184744675926,0.0334361111111111,0.0112899254552469,0.5,0.185185185185185,0.333333333333333,0.148148148148148,252.342901674728,46.2217875753261,5.57677615941495e-11,8,"",68
"39","PH_1.5","PH",1.5,0.9987,0.917225,0.070343466875,0.0325888888888889,0.0106039305144033,0.416666666666667,0.25,0.416666666666667,0.25,290.852354292407,84.731240193005,2.42193133777004e-19,9,"",95
"40","QH_1.5","QH",1.5,0.9985,0.914725,0.0720502146527777,0.0663944444444444,0.0467463008539094,0.416666666666667,0.25,0.333333333333333,0.148148148148148,224.750196809763,18.6290827103614,5.4709525100631e-05,7,"",15
"41","LPQ_1.5","LPQ",1.5,0.998,0.907091666666667,0.0863306672453704,0.0326555555555555,0.0107491015432099,0.5,0.185185185185185,0.333333333333333,0.148148148148148,252.124323065707,46.0032089663044,6.22081025742317e-11,8,"",67
"42","LPH_1.5","LPH",1.5,0.9987,0.915883333333333,0.0726045313888889,0.0353805555555556,0.0125107611342592,0.416666666666667,0.25,0.416666666666667,0.25,290.291014060463,84.1698999610608,3.20667768254309e-19,9,"",94
"43","LQH_1.5","LQH",1.5,0.9985,0.923316666666667,0.0579045673148148,0.0516111111111111,0.0281086501440329,0.416666666666667,0.25,0.333333333333333,0.148148148148148,245.430994547796,39.3098804483941,1.7671962262849e-09,8,"",55
"44","PQH_1.5","PQH",1.5,0.9987,0.918241666666667,0.0685288946527778,0.0333861111111111,0.0111087020396091,0.666666666666667,0.222222222222222,0.416666666666667,0.25,289.927163408766,83.8060493093639,3.84648881916277e-19,9,"",91
"45","LPQH_1.5","LPQH",1.5,0.9987,0.917941666666667,0.0690702413194444,0.0366222222222222,0.0134967580452675,0.666666666666667,0.222222222222222,0.416666666666667,0.25,421.95181139605,215.830697296648,8.24662841909239e-48,10,"",97
"46","L_2","L",2,0.9973,0.8866,0.120345277962963,0.0243277777777778,0.00553368931069959,0.333333333333333,0.148148148148148,0.333333333333333,0.148148148148148,275.762872133588,69.6417580341856,4.57932265727103e-16,8,"",87
"47","P_2","P",2,0.9978,0.911408333333333,0.077721054837963,0.0291444444444445,0.00851943639917695,0.416666666666667,0.25,0.333333333333333,0.148148148148148,237.290578484292,31.1694643848895,1.03503173022042e-07,7,"",51
"48","Q_2","Q",2,0.998,0.9161,0.0702747201851852,0.0642555555555555,0.0445313916666667,0.333333333333333,0.0740740740740741,0.166666666666667,0.111111111111111,230.242987026902,24.1218729274996,3.51009365397541e-06,7,"",36
"49","H_2","H",2,0.9984,0.941958333333333,0.0315887863194444,0.0161638888888889,0.00200007282150205,0.666666666666667,0.222222222222222,0.666666666666667,0.222222222222222,433.879853705789,227.758739606387,2.11901947830656e-50,10,"",103
"50","LP_2","LP",2,0.9982,0.906141666666667,0.0877426883564815,0.02995,0.00901046225308642,0.416666666666667,0.25,0.333333333333333,0.148148148148148,257.957754602695,51.8366405032925,3.36614943172102e-12,8,"",78
"51","LQ_2","LQ",2,0.9982,0.922875,0.0591377913194445,0.0494,0.0262201622222222,0.25,0.101851851851852,0.166666666666667,0.111111111111111,249.74302704616,43.6219129467582,2.04615634898388e-10,8,"",62
"52","LH_2","LH",2,0.9985,0.898383333333333,0.104180679166667,0.0229444444444444,0.00461998257201645,0.583333333333333,0.101851851851852,0.5,0.185185185185185,427.226666317401,221.105552217999,5.90005735859521e-49,10,"",102
"53","PQ_2","PQ",2,0.9978,0.912175,0.0767885074305556,0.0322138888888889,0.0104179760519547,0.416666666666667,0.25,0.416666666666667,0.25,220.38951118733,14.2683970879283,0.000484143155568595,6,"",7
"54","PH_2","PH",2,0.9986,0.916558333333333,0.0700713716898148,0.0334472222222222,0.0110492760108025,0.416666666666667,0.25,0.416666666666667,0.25,251.379620249063,45.2585061496611,9.0272842352729e-11,8,"",66
"55","QH_2","QH",2,0.9984,0.915875,0.0702725576157407,0.0644444444444444,0.0443923824485596,0.333333333333333,0.148148148148148,0.166666666666667,0.111111111111111,227.258093005836,21.1369789064337,1.56127787519252e-05,7,"",23
"56","LPQ_2","LPQ",2,0.9978,0.908,0.0846530361111111,0.0326916666666666,0.0107439080889918,0.416666666666667,0.25,0.416666666666667,0.25,220.39016626756,14.2690521681578,0.000483984605231092,6,"",8
"57","LPH_2","LPH",2,0.9986,0.916441666666667,0.0702375816898148,0.0363083333333333,0.0131253146116255,0.416666666666667,0.25,0.416666666666667,0.25,294.565807101753,88.444693002351,3.78264682806397e-20,9,"",96
"58","LQH_2","LQH",2,0.9984,0.922758333333333,0.0590333055787037,0.0496444444444444,0.0261454661111111,0.333333333333333,0.148148148148148,0.25,0.101851851851852,247.45416095455,41.3330468551479,6.42628189311165e-10,8,"",57
"59","PQH_2","PQH",2,0.9987,0.917125,0.0691574733564815,0.0323222222222222,0.0100936083744856,0.75,0.101851851851852,0.416666666666667,0.25,NA,NA,NA,11,"",120
"60","LPQH_2","LPQH",2,0.9987,0.916908333333333,0.0695359202083333,0.0353833333333333,0.0122223531584362,0.75,0.101851851851852,0.416666666666667,0.25,425.66225662705,219.541142527648,1.28992209469642e-48,10,"",101
"61","L_2.5","L",2.5,0.9961,0.879458333333333,0.135434826134259,0.0230833333333333,0.00510444667695474,0.333333333333333,0.148148148148148,0.25,0.101851851851852,284.818391089839,78.6972769904372,4.94789287248468e-18,8,"",88
"62","P_2.5","P",2.5,0.9975,0.911316666666667,0.0772919573148148,0.0278472222222222,0.0079013539531893,0.416666666666667,0.25,0.416666666666667,0.25,241.901517918346,35.780403818944,1.03205035495699e-08,7,"",52
