"","settings","features","rm","full.AUC","Mean.AUC","Var.AUC","Mean.AUC.DIFF","Var.AUC.DIFF","Mean.OR10","Var.OR10","Mean.ORmin","Var.ORmin","AICc","delta.AICc","w.AIC","nparam","sel.cri","rankAICc"
"95","LP_3.5","LP",3.5,0.7709,0.72131857,0.0158457521451257,0.07120377,0.0206285943896896,0.1612,0.0165352533333333,0.0036,5.184e-05,136962.710710603,1930.519411207,0,14,"",93
"96","LQ_3.5","LQ",3.5,0.748,0.70723008,0.0290626766796364,0.0787573,0.0251624565420409,0.1806,0.0289977066666667,0.0034,4.624e-05,137492.864287084,2460.67298768822,0,7,"",108
"97","LH_3.5","LH",3.5,0.798,0.73337002,0.0161728530886443,0.07237776,0.0272389196656386,0.2202,0.0596912533333333,0.0034,4.624e-05,135728.688011983,696.496712587192,5.72348359802491e-152,59,"",55
"98","PQ_3.5","PQ",3.5,0.7696,0.71783295,0.0210773348109354,0.0781621566666666,0.0248760665710822,0.1804,0.0241700266666667,0.0044,7.744e-05,136981.14343493,1948.95213553405,0,15,"",94
"99","PH_3.5","PH",3.5,0.7989,0.73296755,0.0181530472848307,0.0783712333333333,0.0286987362123806,0.2214,0.0616325866666667,0.005,1e-04,135725.366707424,693.17540802859,3.01212203972688e-151,70,"",53
"100","QH_3.5","QH",3.5,0.7978,0.73423695,0.0163133813924457,0.0716386466666667,0.0271138719060486,0.2206,0.0585529066666667,0.0036,5.184e-05,135724.581937857,692.390638461366,4.45946859828498e-151,54,"",52
"101","LPQ_3.5","LPQ",3.5,0.7694,0.71775233,0.0213788599561149,0.0784033933333333,0.0250589856537765,0.18,0.0243392,0.0042,7.056e-05,136988.0254485,1955.83414910399,0,16,"",95
"102","LPH_3.5","LPH",3.5,0.7989,0.7323476,0.0185360229869686,0.07924447,0.028983954748586,0.2228,0.0606180266666667,0.005,1e-04,135712.384762241,680.193462844938,1.98548286165317e-148,64,"",49
"103","LQH_3.5","LQH",3.5,0.7977,0.73399112,0.0162282410431303,0.0718751866666667,0.0271381678451806,0.2216,0.05881472,0.0036,5.184e-05,135729.301087917,697.109788521426,4.21242997978396e-152,57,"",56
"104","PQH_3.5","PQH",3.5,0.7984,0.73264966,0.0183529006643067,0.0784768066666667,0.0286907495936153,0.2234,0.0606585066666667,0.005,1e-04,135717.75104382,685.559744424449,1.35704079499733e-149,60,"",51
"105","LPQH_3.5","LPQH",3.5,0.7984,0.73221216,0.0183534857900821,0.0787744533333333,0.0289859326633401,0.2226,0.0606956266666667,0.0048,9.216e-05,135717.751043818,685.559744422353,1.35704079641915e-149,60,"",50
"106","L_4","L",4,0.6731,0.64259006,0.00736296687672067,0.0395187233333333,0.00673954463174634,0.133,0.00679226666666667,0.0016,1.024e-05,140042.082648246,5009.8913488503,0,5,"",120
"107","P_4","P",4,0.7659,0.71931372,0.0162831999304052,0.0704284866666667,0.0205611754182122,0.1566,0.0160172266666667,0.0034,4.624e-05,137110.389019765,2078.19772036915,0,13,"",98
